"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002684.1_cds_AEE28741.1_2216",171.40233543446,-0.654800554339889,0.133389253469329,15.3376108101664,0.017787286599186,0.0427179728165859
"lcl|CP002687.1_cds_AEE82370.2_30509",151.158461650115,-0.465282268155818,0.173873271366292,15.3363766112389,0.0177957658951785,0.0427345347010452
"lcl|CP002686.1_cds_AEE79905.1_28908",134.99831464963,0.192909891776599,0.203969378632391,15.3345701807128,0.0178081835597871,0.0427605503480602
"lcl|CP002686.1_cds_AEE78893.1_27541",259.361857612664,0.290814934250113,0.150657349222669,15.332175275781,0.0178246592687635,0.0427963045718227
"lcl|CP002684.1_cds_AEE31000.2_5218",29.0191781091098,-2.02297317576653,2.02573206774708,15.3291872569451,0.0178452357514451,0.0428418973563241
"lcl|CP002686.1_cds_AEE80362.1_29535",111.575746943915,0.270522370290309,0.28182314060309,15.3276855239351,0.0178555857619711,0.0428629330421207
"lcl|CP002688.1_cds_AED92207.1_39842",6.47123311564338,-0.0533237374670704,0.701407610834153,15.3262858522138,0.0178652375340919,0.0428822889912215
"lcl|CP002684.1_cds_AEE31326.1_5653",453.832137412345,5.02056401342589,2.08620265032685,15.3243160792964,0.0178788290341464,0.0429019678349624
"lcl|CP002686.1_cds_AEE74821.1_21971",1549.89686388312,-0.456420640064175,0.064512491150179,15.3241763975483,0.0178797932186163,0.0429019678349624
"lcl|CP002686.1_cds_AEE80244.1_29390",671.341047302424,0.353144194917148,0.086601021059478,15.3243789957154,0.0178783947557636,0.0429019678349624
"lcl|CP002685.1_cds_ANM63296.1_20003",472.555689934491,-0.100379571833039,0.084781558849917,15.3245153982093,0.0178774532769873,0.0429019678349624
"lcl|CP002684.1_cds_AEE32165.1_6771",34.0928335033683,-3.00843659121252,0.599484708811615,15.3231649175221,0.0178867766704985,0.0429149097363289
"lcl|CP002686.1_cds_AEE76637.1_24453",242.583346534202,0.335660756702163,0.0930969812971414,15.3216616340263,0.0178971604507419,0.0429360068616537
"lcl|CP002684.1_cds_AEE31927.1_6469",12.3446999056212,0.734334521155134,0.94176138780844,15.321131114192,0.0179008263404066,0.042940985180213
"lcl|CP002684.1_cds_AEE34504.1_9960",56.8063578318558,0.067316762147829,0.231846528992902,15.3205342650915,0.0179049514240025,0.0429470640429646
"lcl|CP002684.1_cds_ANM59945.1_2640",432.308170863034,0.245681669204009,0.111255964970647,15.320245480855,0.0179069476639597,0.0429480360054134
"lcl|CP002684.1_cds_AEE36046.1_12019",963.004328143235,0.0368533400906187,0.0830988926492718,15.3182910660491,0.0179204632840138,0.0429766334300523
"lcl|CP002686.1_cds_AEE73635.1_20317",521.386425986924,-0.0540867109453467,0.528950025828212,15.3169063937785,0.0179300447969711,0.0429957918849993
"lcl|CP002686.1_cds_ANM65323.1_23670",30.4075457772254,0.230117243439395,0.37950556162206,15.3144989685607,0.0179467151236156,0.0430281222175043
